T,value,source
293,490.0,digitized Kaess Fig4d 2026-07-16 (their averaged curve): ~490 J/kgK at 20 C
773,570.0,digitized Kaess Fig4d: ~570 J/kgK at 500 C
1273,620.0,digitized Kaess Fig4d: ~620 J/kgK at 1000 C
1573,670.0,digitized Kaess Fig4d: ~670 J/kgK at 1300 C
1673,755.0,digitized Kaess Fig4d: rise to ~755 J/kgK approaching melting (1400 C)
