T,value,source
293,15.0,digitized Kaess Fig4c 2026-07-16 (their averaged curve): 15 W/mK at 20 C (matches ref36)
773,21.0,digitized Kaess Fig4c: ~21 W/mK at 500 C
1273,26.5,digitized Kaess Fig4c: ~26.5 W/mK at 1000 C
1473,29.0,digitized Kaess Fig4c: ~29 W/mK at 1200 C
1673,31.0,digitized Kaess Fig4c: ~31 W/mK at 1400 C
